,book_id,isbn,title,genre,format,publication_year,list_price,author_id,publisher_id
72,240,978-790-35318-32-9,Turning Points Vol. 8,History,Hardcover,2014,34.04,23,6
73,62,978-871-61116-63-8,No Trace Found Vol. 6,Mystery,Audiobook,2016,25.21,22,7
74,5,978-227-59615-20-8,The Quiet Hours Vol. 5,Fiction,eBook,2019,36.43,22,3
75,164,978-163-69050-23-5,A Life Remembered Vol. 4,Biography,eBook,2021,29.56,7,2
76,210,978-742-81509-47-4,Empire Rising Vol. 2,History,Audiobook,2005,30.01,7,2
77,116,978-754-65615-98-4,First Contact Vol. 4,Science Fiction,Audiobook,2023,41.13,8,8
78,230,978-591-55718-81-4,The Lost Century Vol. 6,History,Paperback,2020,32.46,28,1
79,191,978-495-54438-33-7,Becoming More Vol. 7,Biography,eBook,2017,23.85,18,8
80,184,978-526-34551-95-1,The Long Road Vol. 8,Biography,Hardcover,2012,29.89,4,5
81,238,978-565-94058-79-8,Turning Points Vol. 6,History,Hardcover,2015,40.56,4,7
82,245,978-565-89395-57-6,Your Best Self Vol. 5,Self-Help,Paperback,2020,41.54,21,2
83,189,978-423-50642-75-6,Becoming More Vol. 5,Biography,Paperback,2011,10.48,25,1
84,188,978-286-27675-18-7,Becoming More Vol. 4,Biography,Audiobook,2020,42.34,2,6
85,156,978-546-87184-61-8,Emberfall Vol. 4,Fantasy,Hardcover,2008,23.84,2,3
86,235,978-766-36143-46-5,Turning Points Vol. 3,History,Audiobook,2020,31.19,10,6
87,227,978-822-28098-76-3,The Lost Century Vol. 3,History,Paperback,2020,22.94,19,5
88,221,978-923-72094-76-7,When Nations Fall Vol. 5,History,Hardcover,2009,10.53,24,5
89,56,978-968-25906-68-2,Dead by Dawn Vol. 8,Mystery,Audiobook,2012,10.7,29,6
90,176,978-205-77621-25-4,Against All Odds Vol. 8,Biography,Hardcover,2016,30.79,22,1
91,250,978-122-61897-42-0,The Habit Code Vol. 2,Self-Help,Audiobook,2014,31.86,25,9
92,83,978-399-26551-91-7,Orbit Zero Vol. 3,Science Fiction,Paperback,2006,18.32,14,9
93,147,978-864-79531-37-6,The Last Mage Vol. 3,Fantasy,Audiobook,2005,11.36,22,6
94,74,978-576-67091-85-4,Shadows Remain Vol. 2,Mystery,eBook,2022,29.93,8,9
95,69,978-271-89415-87-1,The Cold Case Vol. 5,Mystery,Paperback,2013,24.8,9,8
96,193,978-181-52981-94-4,In Their Own Words,Biography,Paperback,2015,27.54,20,7
97,100,978-548-73532-25-0,Signal Lost Vol. 4,Science Fiction,Paperback,2009,18.07,28,4
98,166,978-153-92691-92-5,A Life Remembered Vol. 6,Biography,eBook,2015,22.16,13,3
99,85,978-802-17026-29-2,Orbit Zero Vol. 5,Science Fiction,Audiobook,2023,25.71,1,8
100,158,978-844-94599-28-3,Emberfall Vol. 6,Fantasy,Paperback,2016,39.79,7,8
101,41,978-782-23473-55-8,The Last Clue,Mystery,Hardcover,2011,39.55,4,3
102,90,978-172-40595-43-9,The Outer Reaches Vol. 2,Science Fiction,Hardcover,2014,16.86,5,1
103,93,978-182-88385-15-6,The Outer Reaches Vol. 5,Science Fiction,eBook,2020,26.01,23,5
104,122,978-363-73156-47-5,The Iron Crown Vol. 2,Fantasy,eBook,2013,27.04,17,6
105,63,978-597-13804-59-5,No Trace Found Vol. 7,Mystery,Paperback,2013,25.59,3,9
106,99,978-874-75338-90-7,Signal Lost Vol. 3,Science Fiction,Hardcover,2016,15.37,6,5
107,234,978-202-99285-27-0,Turning Points Vol. 2,History,Hardcover,2015,12.4,29,2
108,137,978-802-24150-72-7,Blood and Stone,Fantasy,Hardcover,2017,42.94,6,4
109,162,978-951-47627-19-1,A Life Remembered Vol. 2,Biography,Audiobook,2006,24.36,11,1
110,53,978-330-36100-28-0,Dead by Dawn Vol. 5,Mystery,eBook,2012,12.17,4,9
111,46,978-282-86099-43-0,The Last Clue Vol. 6,Mystery,eBook,2008,40.92,30,9
112,104,978-906-76550-44-0,Signal Lost Vol. 8,Science Fiction,Hardcover,2018,18.38,3,6
113,78,978-911-12260-21-4,Shadows Remain Vol. 6,Mystery,Audiobook,2020,30.95,10,2
114,102,978-833-48254-75-4,Signal Lost Vol. 6,Science Fiction,Audiobook,2009,41.19,29,8
115,35,978-820-49651-88-8,Edge of Home Vol. 3,Fiction,eBook,2019,18.68,26,2
116,77,978-187-41635-62-7,Shadows Remain Vol. 5,Mystery,eBook,2021,27.89,27,1
117,101,978-114-82384-62-1,Signal Lost Vol. 5,Science Fiction,Paperback,2014,33.12,7,7
118,192,978-920-20828-64-1,Becoming More Vol. 8,Biography,eBook,2021,40.42,23,10
119,50,978-230-35144-63-6,Dead by Dawn Vol. 2,Mystery,Audiobook,2014,20.08,24,1
120,146,978-447-56009-10-2,The Last Mage Vol. 2,Fantasy,eBook,2013,9.97,14,7
121,112,978-147-52516-17-4,Nova Protocol Vol. 8,Science Fiction,Hardcover,2014,24.08,20,8
122,21,978-824-92719-17-3,A Thousand Tomorrows Vol. 5,Fiction,Paperback,2005,29.0,14,7
123,55,978-804-10726-23-6,Dead by Dawn Vol. 7,Mystery,Audiobook,2009,22.58,23,5
124,60,978-165-64377-62-5,No Trace Found Vol. 4,Mystery,Paperback,2009,16.85,11,6
125,68,978-256-41266-26-7,The Cold Case Vol. 4,Mystery,Paperback,2005,15.77,28,4
126,168,978-232-87993-20-4,A Life Remembered Vol. 8,Biography,Paperback,2014,40.16,27,8
127,133,978-102-46342-28-2,Shadow Realm Vol. 5,Fantasy,Paperback,2009,20.16,12,2
128,91,978-252-44816-28-1,The Outer Reaches Vol. 3,Science Fiction,Audiobook,2012,12.89,9,2
129,2,978-338-76237-87-0,The Quiet Hours Vol. 2,Fiction,Audiobook,2007,10.07,11,7
130,48,978-632-80575-97-3,The Last Clue Vol. 8,Mystery,Paperback,2018,17.65,26,7
131,30,978-973-79615-30-0,The Glass Garden Vol. 6,Fiction,Hardcover,2020,10.69,3,3
132,152,978-396-53007-25-0,The Last Mage Vol. 8,Fantasy,eBook,2009,41.13,14,2
133,249,978-625-64450-68-9,The Habit Code,Self-Help,Audiobook,2019,36.49,5,8
134,160,978-750-91857-51-5,Emberfall Vol. 8,Fantasy,Audiobook,2023,32.15,28,7
135,179,978-959-95191-52-2,The Long Road Vol. 3,Biography,eBook,2015,16.62,30,8
136,203,978-726-21300-18-4,The Forgotten War Vol. 3,History,eBook,2022,24.88,10,7
137,123,978-331-98647-96-6,The Iron Crown Vol. 3,Fantasy,Audiobook,2009,41.73,15,8
138,105,978-595-55236-52-8,Nova Protocol,Science Fiction,Audiobook,2019,38.41,4,1
139,150,978-624-24918-54-6,The Last Mage Vol. 6,Fantasy,Audiobook,2011,23.07,5,7
140,145,978-885-91490-88-8,The Last Mage,Fantasy,eBook,2018,28.51,13,8
141,194,978-557-15551-55-9,In Their Own Words Vol. 2,Biography,Audiobook,2019,14.66,4,10
142,65,978-286-16590-43-6,The Cold Case,Mystery,Hardcover,2009,30.84,12,4
143,202,978-342-74752-13-5,The Forgotten War Vol. 2,History,Paperback,2011,13.12,15,3
144,181,978-844-89807-77-6,The Long Road Vol. 5,Biography,Hardcover,2009,17.69,14,8
145,206,978-265-52291-38-5,The Forgotten War Vol. 6,History,Hardcover,2014,26.61,24,4
146,23,978-516-34957-22-1,A Thousand Tomorrows Vol. 7,Fiction,Audiobook,2020,17.25,19,7
147,131,978-778-37801-92-9,Shadow Realm Vol. 3,Fantasy,Hardcover,2019,41.26,18,2
148,173,978-725-47346-67-3,Against All Odds Vol. 5,Biography,eBook,2012,31.99,25,5
149,4,978-194-59797-22-5,The Quiet Hours Vol. 4,Fiction,Paperback,2015,16.31,27,1
150,213,978-373-68929-41-2,Empire Rising Vol. 5,History,Hardcover,2019,19.84,19,3
151,106,978-293-41300-83-6,Nova Protocol Vol. 2,Science Fiction,Audiobook,2015,24.47,28,9
152,214,978-986-30932-51-9,Empire Rising Vol. 6,History,eBook,2018,41.13,1,4
153,126,978-164-93283-69-4,The Iron Crown Vol. 6,Fantasy,eBook,2012,40.11,21,9
154,54,978-524-92544-83-3,Dead by Dawn Vol. 6,Mystery,Audiobook,2007,29.77,25,2
155,94,978-701-12719-96-4,The Outer Reaches Vol. 6,Science Fiction,eBook,2012,9.87,3,3
156,185,978-905-76535-80-0,Becoming More,Biography,Hardcover,2022,41.41,24,3
157,209,978-146-94076-83-4,Empire Rising,History,Hardcover,2005,37.05,27,7
158,143,978-394-88696-49-5,Blood and Stone Vol. 7,Fantasy,Hardcover,2018,22.96,10,3
159,138,978-381-91830-91-9,Blood and Stone Vol. 2,Fantasy,eBook,2007,29.67,11,8
160,155,978-432-32527-89-7,Emberfall Vol. 3,Fantasy,Audiobook,2017,18.83,12,5
161,25,978-296-34931-78-7,The Glass Garden,Fiction,eBook,2008,36.21,25,5
162,198,978-216-13396-33-7,In Their Own Words Vol. 6,Biography,eBook,2013,22.52,19,9
163,59,978-378-54020-50-8,No Trace Found Vol. 3,Mystery,eBook,2014,23.95,7,2
164,9,978-801-52504-17-3,Between Two Worlds,Fiction,Audiobook,2022,18.17,8,10
165,207,978-228-91922-48-9,The Forgotten War Vol. 7,History,Hardcover,2022,17.51,24,1
166,205,978-701-33850-26-6,The Forgotten War Vol. 5,History,eBook,2022,13.35,6,10
167,161,978-705-17362-55-8,A Life Remembered,Biography,Hardcover,2014,24.93,19,10
168,208,978-275-96341-89-9,The Forgotten War Vol. 8,History,Paperback,2023,29.11,10,8
169,47,978-720-77033-24-6,The Last Clue Vol. 7,Mystery,Audiobook,2015,20.74,1,7
170,80,978-413-42951-39-1,Shadows Remain Vol. 8,Mystery,eBook,2019,20.95,20,9
171,171,978-889-80748-77-0,Against All Odds Vol. 3,Biography,Hardcover,2008,19.05,19,6
172,239,978-266-70150-92-4,Turning Points Vol. 7,History,Audiobook,2008,18.27,5,6
173,180,978-877-71487-67-9,The Long Road Vol. 4,Biography,eBook,2020,40.18,19,4
174,82,978-332-57301-32-4,Orbit Zero Vol. 2,Science Fiction,eBook,2011,42.33,3,7
175,186,978-865-12128-55-1,Becoming More Vol. 2,Biography,Hardcover,2016,30.6,30,10
176,113,978-679-99364-33-2,First Contact,Science Fiction,Audiobook,2021,13.94,13,3
177,18,978-228-26828-94-7,A Thousand Tomorrows Vol. 2,Fiction,Audiobook,2022,36.73,11,8
178,204,978-228-51553-92-1,The Forgotten War Vol. 4,History,Audiobook,2023,35.14,30,10
179,217,978-210-66482-27-4,When Nations Fall,History,Audiobook,2005,18.71,4,10
180,212,978-982-51853-54-6,Empire Rising Vol. 4,History,Paperback,2009,20.56,5,10
181,220,978-474-28909-35-9,When Nations Fall Vol. 4,History,Hardcover,2015,22.38,1,6
182,14,978-887-94012-53-1,Between Two Worlds Vol. 6,Fiction,Hardcover,2022,32.17,10,4
183,40,978-251-66333-26-0,Edge of Home Vol. 8,Fiction,Hardcover,2023,37.37,26,6
184,75,978-868-70910-82-9,Shadows Remain Vol. 3,Mystery,Hardcover,2019,18.47,27,2
185,135,978-638-24896-18-7,Shadow Realm Vol. 7,Fantasy,Paperback,2009,18.01,27,4
186,109,978-258-19807-70-4,Nova Protocol Vol. 5,Science Fiction,Hardcover,2018,33.55,24,10
187,153,978-612-83233-95-5,Emberfall,Fantasy,Paperback,2022,13.38,5,5
188,237,978-290-47941-14-0,Turning Points Vol. 5,History,Hardcover,2017,42.89,26,6
189,140,978-447-69441-61-6,Blood and Stone Vol. 4,Fantasy,Paperback,2012,23.61,1,8
190,232,978-319-36485-78-4,The Lost Century Vol. 8,History,eBook,2013,40.41,4,8
191,86,978-671-64548-87-9,Orbit Zero Vol. 6,Science Fiction,eBook,2012,11.89,15,7
192,129,978-806-58566-37-7,Shadow Realm,Fantasy,Audiobook,2013,29.92,7,8
193,110,978-790-79942-58-5,Nova Protocol Vol. 6,Science Fiction,Audiobook,2015,31.08,27,7
194,114,978-697-28758-39-7,First Contact Vol. 2,Science Fiction,Audiobook,2012,30.06,8,8
195,42,978-919-33206-62-0,The Last Clue Vol. 2,Mystery,Paperback,2012,40.47,26,5
196,199,978-319-90199-46-7,In Their Own Words Vol. 7,Biography,Hardcover,2013,17.89,24,5
197,225,978-744-91230-58-2,The Lost Century,History,Hardcover,2010,28.83,12,2
198,11,978-651-44438-84-6,Between Two Worlds Vol. 3,Fiction,Paperback,2012,18.0,30,10
199,244,978-220-93717-47-5,Your Best Self Vol. 4,Self-Help,Audiobook,2014,32.32,4,6
200,197,978-480-68188-19-9,In Their Own Words Vol. 5,Biography,Hardcover,2019,29.56,30,7
201,151,978-325-61807-86-0,The Last Mage Vol. 7,Fantasy,Audiobook,2014,26.91,1,1
202,149,978-378-68079-94-6,The Last Mage Vol. 5,Fantasy,Paperback,2006,14.34,26,4
203,32,978-678-78522-50-4,The Glass Garden Vol. 8,Fiction,Hardcover,2018,30.05,12,7
204,107,978-495-96991-93-2,Nova Protocol Vol. 3,Science Fiction,Hardcover,2020,19.81,29,5
205,201,978-971-30644-99-2,The Forgotten War,History,Hardcover,2014,27.69,9,3
206,7,978-954-57819-30-5,The Quiet Hours Vol. 7,Fiction,Hardcover,2019,21.91,22,2
207,71,978-813-49529-97-9,The Cold Case Vol. 7,Mystery,Hardcover,2012,29.12,23,2
208,8,978-750-32431-78-3,The Quiet Hours Vol. 8,Fiction,eBook,2007,32.85,13,2
209,120,978-199-92242-92-0,First Contact Vol. 8,Science Fiction,eBook,2009,32.03,29,2
210,190,978-465-16265-93-5,Becoming More Vol. 6,Biography,Audiobook,2011,17.6,2,9
211,119,978-918-40162-87-5,First Contact Vol. 7,Science Fiction,Audiobook,2014,37.31,16,7
212,16,978-897-79514-10-9,Between Two Worlds Vol. 8,Fiction,Paperback,2010,14.19,22,1
213,222,978-502-90805-48-9,When Nations Fall Vol. 6,History,Paperback,2015,20.14,19,7
214,130,978-760-57012-17-6,Shadow Realm Vol. 2,Fantasy,eBook,2016,12.37,6,2
215,72,978-170-76317-92-5,The Cold Case Vol. 8,Mystery,Hardcover,2018,20.79,15,8
216,61,978-888-86556-99-0,No Trace Found Vol. 5,Mystery,Audiobook,2018,11.11,10,10
217,241,978-785-22502-33-2,Your Best Self,Self-Help,Audiobook,2007,26.51,22,5
218,246,978-353-99173-86-1,Your Best Self Vol. 6,Self-Help,Audiobook,2011,34.74,23,9
219,117,978-342-59986-83-5,First Contact Vol. 5,Science Fiction,Paperback,2020,42.97,6,1
220,66,978-870-65255-42-1,The Cold Case Vol. 2,Mystery,Audiobook,2017,20.1,27,2
221,139,978-564-76263-87-6,Blood and Stone Vol. 3,Fantasy,Audiobook,2021,42.81,10,3
222,200,978-830-68341-21-5,In Their Own Words Vol. 8,Biography,Paperback,2019,37.99,17,8
223,142,978-669-17861-85-8,Blood and Stone Vol. 6,Fantasy,Hardcover,2016,23.67,2,8
224,165,978-636-78517-88-2,A Life Remembered Vol. 5,Biography,Paperback,2019,10.32,23,8
225,12,978-605-21915-16-1,Between Two Worlds Vol. 4,Fiction,Audiobook,2009,21.3,26,7
226,45,978-385-56025-92-8,The Last Clue Vol. 5,Mystery,Audiobook,2007,20.15,9,2
227,196,978-897-94562-56-5,In Their Own Words Vol. 4,Biography,Audiobook,2007,10.17,19,7
228,84,978-288-16734-42-7,Orbit Zero Vol. 4,Science Fiction,eBook,2019,24.95,1,4
229,108,978-990-23154-66-1,Nova Protocol Vol. 4,Science Fiction,Paperback,2023,26.07,5,4
230,57,978-934-76162-64-8,No Trace Found,Mystery,eBook,2019,41.29,15,10
231,195,978-625-99051-30-0,In Their Own Words Vol. 3,Biography,Hardcover,2017,11.54,20,1
232,38,978-145-10464-52-2,Edge of Home Vol. 6,Fiction,Hardcover,2018,12.13,5,1
233,144,978-967-24184-54-8,Blood and Stone Vol. 8,Fantasy,Paperback,2020,14.25,1,7
234,79,978-584-82544-77-5,Shadows Remain Vol. 7,Mystery,Paperback,2023,19.4,29,5
235,132,978-310-18992-80-3,Shadow Realm Vol. 4,Fantasy,eBook,2009,17.27,14,4
236,242,978-557-44995-52-4,Your Best Self Vol. 2,Self-Help,Paperback,2017,9.22,5,3
237,111,978-800-47667-39-1,Nova Protocol Vol. 7,Science Fiction,Hardcover,2012,29.98,7,10
238,169,978-761-97878-64-8,Against All Odds,Biography,eBook,2021,36.64,10,5
239,26,978-553-82132-22-0,The Glass Garden Vol. 2,Fiction,Paperback,2012,18.46,19,5
240,167,978-358-96057-87-2,A Life Remembered Vol. 7,Biography,Hardcover,2017,27.96,11,3
241,163,978-856-15376-67-9,A Life Remembered Vol. 3,Biography,Audiobook,2022,24.72,21,7
242,95,978-285-86720-65-7,The Outer Reaches Vol. 7,Science Fiction,Paperback,2019,24.99,12,4
243,127,978-604-25220-22-3,The Iron Crown Vol. 7,Fantasy,Hardcover,2006,13.74,7,5
244,28,978-371-69638-46-6,The Glass Garden Vol. 4,Fiction,Hardcover,2005,14.59,22,5
245,22,978-785-73624-37-8,A Thousand Tomorrows Vol. 6,Fiction,eBook,2012,11.4,11,4
246,103,978-492-34983-86-8,Signal Lost Vol. 7,Science Fiction,Audiobook,2022,17.28,20,10
247,70,978-689-98781-58-6,The Cold Case Vol. 6,Mystery,eBook,2005,12.67,28,6
248,229,978-671-49124-38-4,The Lost Century Vol. 5,History,Audiobook,2012,15.53,13,1
249,136,978-144-96363-76-4,Shadow Realm Vol. 8,Fantasy,Hardcover,2012,24.36,6,3
